case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
r1-s1-b1-z1024,fjall,3,239.11706895887917,222.16965682594412,241.1870797825098,0.23351276265515544,8572.875,2.002594834,445,9.09375,VERIFIED
r1-s1-b1-z1024,redb,3,119.22416493919539,118.12274300893759,119.58951896188816,0.116429848573433,14839.666,2.004627167,237,9.15625,VERIFIED
r1-s1-b1-z1024,rocksdb,3,239.25900134645477,229.62524677513278,242.15598715075396,0.23365136850239723,8070.833,2.002014542,460,10.40625,VERIFIED
r1-s1-b1-z1024,segment,3,74.08783857423104,73.82390230902959,75.51217563884056,0.0723514048576475,27125.25,2.00477075,148,7.234375,VERIFIED
r1-s1-b128-z1024,fjall,3,25842.0867367903,24080.17276753491,26505.643551486788,25.23641282889678,9456.208,2.001076791,377,67.453125,VERIFIED
r1-s1-b128-z1024,redb,3,14045.933050163865,13585.762839696466,14080.043752621024,13.71673149430065,15052.708,2.004850792,213,33.578125,VERIFIED
r1-s1-b128-z1024,rocksdb,3,27610.664624603964,27033.700558924003,28337.196761760442,26.963539672464808,8998.582999999999,2.001044792,423,50.375,VERIFIED
r1-s1-b128-z1024,segment,3,9145.337237718159,9017.300898377132,9316.018755416933,8.93099339620914,23532.583,2.001457084,141,8.078125,VERIFIED
r1-s4-b128-z1024,fjall,3,46047.03261614134,46045.71542043509,50155.40103232805,44.96780528920053,18506.959,2.004211667,721,123.921875,VERIFIED
r1-s4-b128-z1024,redb,3,22480.17052586493,22344.65424658845,22554.795987117606,21.95329152916497,53504.458,2.009949166,353,90.765625,VERIFIED
r1-s4-b128-z1024,rocksdb,3,32741.137155141132,32326.55000158414,33942.81627512865,31.973766753067512,24907.042,2.009459833,508,82.96875,VERIFIED
r1-s4-b128-z1024,segment,3,11698.74327860883,11534.766324910033,12211.641987477682,11.424553983016436,55889.625,2.019633458,182,10.859375,VERIFIED
r3-s1-b1-z1024,fjall,3,89.49218621349124,87.47130941051334,89.68205286360322,0.08739471309911254,17021.125,2.000174625,175,25.9375,VERIFIED
r3-s1-b1-z1024,redb,3,45.35540321006784,45.25823708257837,48.40105915987862,0.044292385947331876,39035.417,2.004088375,91,26.375,VERIFIED
r3-s1-b1-z1024,rocksdb,3,88.42939825409069,87.85164602350568,90.07019256195542,0.08635683423251043,19845.166,2.003377375,176,30.4375,VERIFIED
r3-s1-b1-z1024,segment,3,26.534023306910186,25.848303839546272,26.997948405774903,0.025912132135654478,69965.958,2.011737417,52,21.71875,VERIFIED
r3-s1-b128-z1024,fjall,3,12654.870310600654,12048.03301555476,12685.16499410892,12.358271787695951,15169.833,2.002707209,189,110.515625,VERIFIED
r3-s1-b128-z1024,redb,3,4960.903198413644,4824.5937243869985,5110.619350858493,4.844632029700824,62919.24999999999,2.003671042,76,81.296875,VERIFIED
r3-s1-b128-z1024,rocksdb,3,10405.967951897008,10252.230511099073,10422.50683683029,10.162078078024422,24185.667,2.001821666,161,97.703125,VERIFIED
r3-s1-b128-z1024,segment,3,3378.17521913655,3373.880364634209,3385.827213760912,3.298999237438037,53196.333,2.00364625,53,24.8125,VERIFIED
r3-s4-b128-z1024,fjall,3,24426.540032927096,23827.91283578321,24536.202529689832,23.854043000905367,31987.0,2.013677542,375,197.59375,VERIFIED
r3-s4-b128-z1024,redb,3,9810.829456414254,9767.911382916287,11131.466445158916,9.580888141029545,107611.083,2.023812416,155,173.828125,VERIFIED
r3-s4-b128-z1024,rocksdb,3,15902.00958466316,15336.896506676117,16291.16528576285,15.529306235022617,45392.25,2.019253959,243,143.0625,VERIFIED
r3-s4-b128-z1024,segment,3,4692.248268825799,4666.4946011909815,4721.661003342178,4.582273700025194,133954.042,2.060291917,76,31.09375,VERIFIED
