case,engine,trials,records_per_second_median,records_per_second_min,records_per_second_max,mib_per_second_median,trial_p99_us_median,elapsed_seconds_min,batches_min,node_rss_mib_peak,verdict
r3-s1-b128-z1024,fjall,3,12097.315918800292,11277.72878074217,12172.635130822431,11.81378507695341,22121.625,5.004746541,441,230.515625,VERIFIED
r3-s1-b128-z1024,rocksdb,3,10669.61650006074,10301.061695945686,10718.356319465864,10.419547363340566,24008.167,5.002616542,403,137.5625,VERIFIED
r3-s1-b512-z1024,fjall,3,34296.900286455435,34096.196158010076,34660.457729891335,33.493066685991636,54087.083,5.015456833,334,255.90625,VERIFIED
r3-s1-b512-z1024,rocksdb,3,33304.06855101384,33222.54171397712,33578.2539843797,32.523504444349456,37148.875,5.011760042,326,193.234375,VERIFIED
r3-s2-b128-z1024,fjall,3,14489.628874850934,14241.00546756033,14543.637148483602,14.150028198096615,33911.5,5.007825708,558,274.90625,VERIFIED
r3-s2-b128-z1024,rocksdb,3,11227.385998770194,11075.560992231862,11287.296707879272,10.964244139424018,30093.041,5.015727875,434,211.078125,VERIFIED
r3-s2-b512-z1024,fjall,3,48106.85958334461,48072.71148796639,48699.138120650525,46.97935506185997,87252.209,5.00444175,471,464.0,VERIFIED
r3-s2-b512-z1024,rocksdb,3,40832.703117331206,40811.18948232485,41557.77428571333,39.875686638018756,44808.167,5.018231583,400,319.25,VERIFIED
r3-s4-b128-z1024,fjall,3,24076.531735401575,23773.888788477652,25287.87464671674,23.5122380228531,29680.458,5.016159,932,457.875,VERIFIED
r3-s4-b128-z1024,rocksdb,3,15821.863246820609,15647.406730634686,16008.894540532126,15.45103832697325,44350.167,5.021208666,615,283.71875,VERIFIED
r3-s4-b512-z1024,fjall,3,57694.919016816995,55670.07822769476,63526.473931413304,56.34269435236035,198752.917,5.013091083,559,855.671875,VERIFIED
r3-s4-b512-z1024,rocksdb,3,55409.09117000379,53478.318867448805,56363.53294440929,54.11044059570683,62178.583000000006,5.026756334,527,564.953125,VERIFIED
r3-s8-b128-z1024,fjall,3,39438.643201793486,39219.82249649329,40048.10373774261,38.51430000175145,40033.166000000005,5.017616833,1541,702.625,VERIFIED
r3-s8-b128-z1024,rocksdb,3,21831.538266477706,21755.360494468565,22022.53443558113,21.319861588357135,71175.208,5.033389791,857,394.609375,VERIFIED
r3-s8-b512-z1024,fjall,3,78599.77231070487,66338.77738147257,83592.61130801331,76.75759014717272,895376.625,5.022304625,723,1248.328125,VERIFIED
r3-s8-b512-z1024,rocksdb,3,75531.512210559,74808.32712250286,78617.18681541982,73.76124239312402,92309.625,5.043299,738,1065.359375,VERIFIED
